"age","juv_fel_count","decile_score","juv_misd_count","juv_other_count","v_decile_score","priors_count","sex","two_year_recid","race","c_jail_in","c_jail_out","c_offense_date","screening_date","in_custody","out_custody"
"69","0","1","0","0","1","0","Male","0","Other","0.801413608106957","0.801498765221834","0.801413608106957","0.801498765221834","0.829345141786596","0.829941241590735"
"34","0","3","0","0","1","0","Male","1","African-American","0.784467342246445","0.785318913395214","0.784467342246445","0.784552499361322","0.784467342246445","0.785318913395214"
"24","0","4","0","1","3","4","Male","1","African-American","0.79102444009197","0.791109597206847","0.79102444009197","0.791109597206847","0.796474495444094","0.796474495444094"
"44","0","1","0","0","1","0","Male","0","Other","0.810695733628545","0.810780890743422","0.810695733628545","0.810695733628545","0.810695733628545","0.810780890743422"
"41","0","6","0","0","2","14","Male","1","Caucasian","0.8175083028187","0.818019245507962","0.8175083028187","0.817593459933577","0.820999744528655","0.82253257259644"
"39","0","1","0","0","1","0","Female","0","Caucasian","0.819637230690624","0.819892702035255","0.819637230690624","0.819722387805501","0.819637230690624","0.819892702035255"
"21","0","3","0","0","5","1","Male","1","Caucasian","0.844928893809078","0.845014050923955","0.782253257259644","0.808481648641744","0.844928893809078","0.845014050923955"
"27","0","4","0","0","4","0","Male","0","Caucasian","0.81026994805416","0.810355105169037","0.81026994805416","0.810355105169037","0.81026994805416","0.810355105169037"
"23","0","6","0","0","4","3","Male","1","African-American","0.805756620965682","0.80609724942519","0.805756620965682","0.805756620965682","0.805756620965682","0.80609724942519"
"37","0","1","0","0","1","0","Female","0","Caucasian","0.782338414374521","0.782423571489398","0.782338414374521","0.782338414374521","0.782338414374521","0.782423571489398"
"41","0","4","0","0","2","0","Male","0","African-American","0.806182406540066","0.806267563654943","0.806182406540066","0.806267563654943","0.806182406540066","0.806267563654943"
"31","0","3","0","0","2","7","Male","1","African-American","0.828323256408073","0.828578727752704","0.820403644724517","0.82644979988078","0.828323256408073","0.828578727752704"
"37","0","1","0","0","1","0","Male","0","Hispanic","0.820403644724517","0.820403644724517","0.820403644724517","0.820403644724517","0.820403644724517","0.820403644724517"
"25","0","10","0","0","9","3","Male","0","African-American","0.812484033040961","0.812569190155838","0.812484033040961","0.812569190155838","0.851996934343864","0.857276675466235"
"31","0","5","0","0","4","6","Male","1","Caucasian","0.809503534020267","0.809588691135144","0.809503534020267","0.809588691135144","0.809503534020267","0.809588691135144"
"31","0","3","0","0","2","5","Male","1","Caucasian","0.8404155667206","0.840500723835476","0.8404155667206","0.840500723835476","0.879502682449119","0.882142553010304"
"21","0","9","0","0","9","1","Male","1","African-American","0.791365068551477","0.791620539896108","0.791365068551477","0.791450225666354","0.794004939112663","0.79409009622754"
"27","0","2","0","0","3","0","Male","1","Caucasian","0.837946010389168","0.837946010389168","0.837946010389168","0.837946010389168","0.837946010389168","0.837946010389168"
"21","0","4","0","0","5","0","Female","0","Caucasian","0.809844162479775","0.809929319594652","0.809844162479775","0.810014476709529","0.809844162479775","0.809929319594652"
"24","0","4","0","0","5","1","Male","1","Hispanic","0.785574384739845","0.785659541854722","0.785489227624968","0.785574384739845","0.785574384739845","0.785659541854722"
"43","0","1","0","0","2","1","Male","0","Caucasian","0.784297028016691","0.784382185131568","0.784297028016691","0.784382185131568","0.784297028016691","0.784382185131568"
"32","0","3","0","0","4","0","Male","0","Other","0.793323682193647","0.793493996423401","0.793323682193647","0.793408839308524","0.793323682193647","0.793493996423401"
"27","0","3","0","0","3","8","Male","1","African-American","0.792897896619263","0.794345567572171","0.792897896619263","0.79298305373414","0.802861279059865","0.802946436174742"
"26","0","7","0","1","7","5","Male","1","African-American","0.786511113003491","0.786596270118368","0.786511113003491","0.786596270118368","0.819892702035255","0.820573958954271"
"33","0","10","0","0","6","0","Male","1","African-American","0.838627267308184","0.841863237673508","0.838542110193307","0.838627267308184","0.856936047006727","0.858724346419143"
"30","0","9","0","0","10","9","Male","1","Caucasian","0.784637656476199","0.788384569530784","0.784637656476199","0.784637656476199","0.798433109086264","0.798518266201141"
"32","0","8","0","0","3","4","Male","1","African-American","0.8404155667206","0.840500723835476","0.8404155667206","0.840500723835476","0.841096823639615","0.841267137869369"
"49","0","3","0","0","2","7","Male","1","Other","0.7901728689432","0.790513497402708","0.790258026058077","0.790258026058077","0.833006897726305","0.833092054841182"
"26","0","8","0","2","8","6","Male","0","Caucasian","0.797581537937495","0.798603423316018","0.758153793749468","0.790683811632462","0.797581537937495","0.798603423316018"
"33","0","5","0","0","2","4","Female","1","Caucasian","0.810866047858299","0.811802776121945","0.810866047858299","0.810951204973176","0.810866047858299","0.811802776121945"
"24","0","2","0","0","3","1","Male","1","Caucasian","0.804223792897897","0.804308950012774","0.804223792897897","0.804223792897897","0.824661500468364","0.824916971812995"
"34","2","9","1","3","6","21","Male","1","African-American","0.78318998552329","0.78600017031423","0.78318998552329","0.78318998552329","0.826960742570042","0.842118709018138"
"29","0","2","0","0","2","0","Male","0","Caucasian","0.783615771097675","0.783615771097675","0.783530613982798","0.783615771097675","0.783615771097675","0.783615771097675"
"51","0","1","0","0","1","2","Male","0","African-American","0.787192369922507","0.787277527037384","0.787192369922507","0.787277527037384","0.787192369922507","0.787277527037384"
"29","0","2","0","0","2","2","Male","1","Caucasian","0.82142553010304","0.821510687217917","0.82142553010304","0.821510687217917","0.827641999489057","0.827727156603934"
"51","0","2","0","0","2","7","Female","0","African-American","0.78600017031423","0.786170484543984","0.78600017031423","0.786085327429107","0.831133441199012","0.831814698118028"
"29","0","7","0","0","2","0","Male","1","African-American","0.818615345312101","0.818615345312101","0.818615345312101","0.818615345312101","0.834369411564336","0.836753810780891"
"25","0","10","0","0","9","9","Male","1","Caucasian","0.820659116069148","0.821255215873286","0.820659116069148","0.820744273184025","0.82142553010304","0.822191944136933"
"35","1","8","0","4","3","13","Male","1","African-American","0.825087286042749","0.825172443157626","0.825087286042749","0.825172443157626","0.825938857191518","0.826024014306395"
"49","0","1","0","0","1","0","Male","0","Caucasian","0.800476879843311","0.800476879843311","0.800476879843311","0.800476879843311","0.800476879843311","0.800476879843311"
"34","0","3","0","0","2","4","Male","1","African-American","0.838967895767691","0.843310908626416","0.838967895767691","0.843992165545431","0.838967895767691","0.843310908626416"
"29","0","4","0","0","3","0","Male","0","African-American","0.791961168355616","0.791961168355616","0.791876011240739","0.791961168355616","0.791961168355616","0.791961168355616"
"29","0","2","0","0","2","1","Male","1","Caucasian","0.793323682193647","0.793323682193647","0.793323682193647","0.795367452950694","0.832921740611428","0.832921740611428"
"28","0","2","0","0","2","0","Female","0","Other","0.809588691135144","0.809673848250021","0.809588691135144","0.809673848250021","0.809588691135144","0.809673848250021"
"31","0","5","0","1","7","15","Male","0","African-American","0.788725197990292","0.800306565613557","0.788725197990292","0.788810355105169","0.788725197990292","0.800306565613557"
"24","0","4","0","0","4","2","Male","1","African-American","0.80439410712765","0.804564421357404","0.80439410712765","0.804479264242527","0.80439410712765","0.804564421357404"
"30","0","7","0","0","3","0","Male","0","Hispanic","0.783956399557183","0.785915013199353","0.783956399557183","0.783956399557183","0.783956399557183","0.785915013199353"
"49","0","1","0","0","1","4","Male","0","African-American","0.802520650600358","0.802605807715235","0.802520650600358","0.802605807715235","0.802520650600358","0.802605807715235"
"35","0","3","0","0","2","5","Male","0","African-American","0.785744698969599","0.785829856084476","0.785744698969599","0.785829856084476","0.785744698969599","0.785829856084476"
"63","0","7","0","0","5","10","Male","1","African-American","0.792727582389509","0.795793238525079","0.718811206676318","0.795963552754833","0.792727582389509","0.795793238525079"
"27","1","10","1","2","9","15","Male","1","African-American","0.833858468875075","0.833943625989951","0.833858468875075","0.833943625989951","0.837690539044537","0.838116324618922"
"38","0","2","0","0","2","4","Male","1","Caucasian","0.78514859916546","0.785318913395214","0.78514859916546","0.785233756280337","0.78514859916546","0.785318913395214"
"22","0","4","0","1","6","1","Male","1","African-American","0.80941837690539","0.809503534020267","0.80941837690539","0.809503534020267","0.80941837690539","0.809503534020267"
"22","0","10","1","2","9","2","Male","1","African-American","0.794430724687048","0.804990206931789","0.778761815549689","0.788469726645661","0.794430724687048","0.804990206931789"
"62","0","1","0","0","1","0","Male","0","Hispanic","0.78293451417866","0.78293451417866","0.782849357063783","0.78293451417866","0.78293451417866","0.78293451417866"
