"","age","educ","occ","sex","wageinc","wkswrkd"
"1",50.3008160656318,"zzzOther","102","2",75000,52
"2",41.1013903815765,"zzzOther","101","1",12300,20
"3",24.6737403704319,"zzzOther","102","2",15400,52
"4",50.1995120486245,"zzzOther","100","1",0,52
"5",51.1811235798523,"zzzOther","100","2",160,1
"6",57.7041342651937,"zzzOther","100","1",0,0
"7",67.7383981128223,"zzzOther","101","2",0,0
"8",42.3454363306519,"zzzOther","100","1",32000,52
"9",43.3008304433897,"14","100","2",39000,48
"10",46.467686329037,"zzzOther","100","1",20000,52
"11",43.6113898868207,"zzzOther","101","1",38200,52
"12",54.5134745053947,"zzzOther","101","1",0,8
"13",69.0574941516388,"zzzOther","100","1",0,0
"14",46.6304130449425,"zzzOther","100","1",0,52
"15",16.2384000425227,"zzzOther","101","1",0,1
"16",56.9018817634787,"zzzOther","100","1",62000,52
"17",61.0879818729591,"zzzOther","100","1",90000,52
"18",22.7820266338531,"zzzOther","100","2",23000,52
"19",46.433745313203,"zzzOther","100","1",71000,52
"20",23.5164759685285,"zzzOther","102","2",10000,48
"21",53.1848068640102,"zzzOther","141","1",46000,52
"22",47.3419281016104,"14","141","1",0,0
"23",38.1045279719401,"zzzOther","100","1",48000,52
"24",42.9345010456163,"zzzOther","102","1",45000,52
"25",35.0165190608241,"zzzOther","140","2",2000,35
"26",47.4173959139735,"zzzOther","102","2",48000,52
"27",39.9432413824834,"zzzOther","100","2",12000,52
"28",21.3620795647148,"zzzOther","140","1",2500,12
"29",45.5847830963321,"zzzOther","102","2",85000,52
"30",22.1195234549232,"zzzOther","100","2",17000,52
"31",31.1826375569217,"zzzOther","101","2",16800,52
"32",29.0837505471427,"zzzOther","101","1",3800,10
"33",22.0975430912804,"zzzOther","100","1",4000,30
"34",23.3980760530103,"zzzOther","100","1",14000,52
"35",52.7029605892021,"14","141","1",94000,52
"36",39.6042717595119,"zzzOther","102","2",27000,52
"37",54.0746337410528,"zzzOther","102","1",17200,35
"38",18.0006891351659,"zzzOther","101","1",1400,6
"39",28.3163896587212,"zzzOther","101","1",0,52
"40",63.8333374662325,"zzzOther","141","1",0,0
"41",22.296990144765,"zzzOther","140","1",2500,12
"42",35.4225805874448,"zzzOther","100","1",1500,40
"43",17.4097923503723,"zzzOther","101","1",6000,52
"44",48.8181916163303,"zzzOther","100","2",37000,52
"45",43.5835161320865,"zzzOther","102","1",60000,52
"46",53.0365170626901,"zzzOther","101","2",5000,20
"47",32.1495787787717,"zzzOther","100","2",16000,52
"48",30.589970566798,"zzzOther","106","2",25000,48
"49",67.9033058192581,"zzzOther","141","1",52000,52
"50",48.8466562340036,"zzzOther","141","1",52000,52
"51",38.8184350309893,"zzzOther","100","1",38000,52
"52",18.6424676205497,"zzzOther","102","2",100,1
"53",17.8421178348362,"zzzOther","100","1",2200,20
"54",42.7337237857282,"zzzOther","101","1",100000,20
"55",47.7808558763936,"zzzOther","100","1",32000,52
"56",63.5945385685191,"zzzOther","101","1",5200,10
"57",48.3066643560305,"14","100","1",70000,52
"58",40.211410658434,"zzzOther","102","1",32000,52
"59",37.1820506763179,"zzzOther","101","1",0,52
"60",35.7245399863459,"zzzOther","100","2",15000,52
"61",43.0304465563968,"zzzOther","101","1",50000,50
"62",57.3332161544822,"zzzOther","141","1",45000,52
"63",26.1796893218998,"zzzOther","100","2",20000,52
"64",42.168609111337,"zzzOther","102","1",30000,52
"65",20.0975793641992,"zzzOther","140","1",19200,52
"66",32.9543284052052,"zzzOther","101","1",325000,52
"67",22.7102688224986,"zzzOther","101","1",12000,27
"68",67.182044305373,"zzzOther","101","1",0,0
"69",27.352926122956,"zzzOther","100","1",30000,52
"70",19.7089465898462,"zzzOther","102","1",2000,12
"71",32.4222956940066,"zzzOther","100","1",23000,52
"72",40.5808667435776,"zzzOther","100","1",0,0
"73",59.8351127763744,"zzzOther","102","1",38000,52
"74",38.7967718651053,"zzzOther","100","1",30000,52
"75",52.0030373572372,"zzzOther","101","2",0,46
"76",63.2108963835053,"zzzOther","141","1",0,0
"77",52.8863264366519,"zzzOther","102","1",0,0
"78",18.7085583850276,"zzzOther","100","2",400,4
"79",45.3091244951356,"zzzOther","102","1",95000,52
"80",55.4540578944143,"zzzOther","100","1",26100,42
"81",38.9322488410398,"zzzOther","141","1",120000,48
"82",33.1420350284316,"zzzOther","101","1",0,52
"83",41.5299665492494,"zzzOther","100","1",1800,52
"84",45.6935201140586,"zzzOther","102","1",40000,52
"85",64.9523463668302,"16","141","1",0,0
"86",32.8527239989489,"zzzOther","140","1",75000,52
"87",62.3509524732362,"14","100","1",0,20
"88",40.2848216653802,"zzzOther","101","1",38000,52
"89",31.1395488795824,"zzzOther","102","1",54000,52
"90",46.428843829548,"zzzOther","101","2",68000,50
"91",59.1294326283969,"zzzOther","101","1",60000,52
"92",24.2086899853311,"zzzOther","101","2",3000,20
"93",53.6992022951599,"zzzOther","101","1",0,25
"94",24.1534116317052,"zzzOther","100","1",26000,50
"95",52.6180505126249,"14","100","1",0,0
"96",51.7144680297934,"zzzOther","100","2",0,0
"97",77.5391139155254,"16","141","1",0,0
"98",27.6830686521716,"zzzOther","100","2",40000,40
"99",77.6589996390976,"zzzOther","141","1",0,0
"100",54.6848682381678,"zzzOther","141","2",49000,48
"101",59.7556393591221,"zzzOther","102","1",27000,40
"102",66.4001385965385,"zzzOther","100","1",0,51
"103",50.8966029400472,"zzzOther","100","1",2100,4
"104",47.3257711681072,"16","100","1",0,52
"105",55.9847878112923,"16","102","1",117000,42
"106",43.9791781471577,"zzzOther","102","1",0,52
"107",26.6103020883165,"zzzOther","100","2",15000,30
"108",34.5342209371738,"zzzOther","101","2",34500,41
"109",59.0037674976047,"zzzOther","100","2",41000,52
"110",47.9043694362044,"zzzOther","100","1",24000,40
"111",35.9460077614058,"zzzOther","102","1",64000,52
"112",40.9646130059846,"zzzOther","100","1",43000,48
"113",27.2678416857962,"zzzOther","100","1",11000,50
"114",25.6259039798751,"zzzOther","101","1",0,52
"115",31.7857147965115,"zzzOther","141","1",28000,52
"116",33.0965605471283,"zzzOther","100","2",0,52
"117",30.2321631906088,"zzzOther","101","2",40000,52
"118",46.1009210860357,"14","101","1",0,45
"119",40.1507618324831,"zzzOther","101","2",3900,38
"120",49.4385803607292,"14","101","1",62000,52
"121",26.3665720196441,"zzzOther","102","1",21000,50
"122",69.3871826077811,"zzzOther","141","1",0,0
"123",25.7588077215478,"zzzOther","100","1",50000,50
"124",28.0738996285945,"zzzOther","101","1",33000,52
"125",35.0257587768137,"14","102","1",42000,52
"126",55.6069956207648,"14","102","1",80000,52
"127",39.9969579728786,"zzzOther","100","1",40400,50
"128",36.8314250777476,"zzzOther","101","1",86000,52
"129",29.3549446051475,"zzzOther","102","1",48000,50
"130",57.7652368312702,"zzzOther","102","1",62000,52
"131",27.81927349139,"zzzOther","101","1",3600,40
"132",23.4451553600375,"zzzOther","102","1",0,52
"133",37.6722524266224,"zzzOther","100","1",12000,52
"134",23.1790935974568,"zzzOther","101","1",16000,52
"135",23.4162836484611,"zzzOther","140","1",40000,30
"136",57.6178770249244,"zzzOther","100","1",0,0
"137",50.6609173307661,"zzzOther","100","2",75000,45
"138",38.9403566368856,"zzzOther","101","1",45000,50
"139",72.0229211882688,"zzzOther","140","2",0,0
"140",52.2167984293774,"16","102","1",0,40
"141",41.8427967894822,"zzzOther","101","2",29100,32
"142",29.9331975849345,"zzzOther","101","2",10000,26
"143",17.4386494879145,"zzzOther","101","1",0,0
"144",34.0613198832143,"zzzOther","141","1",44000,52
"145",21.6794439612422,"zzzOther","140","1",13200,30
"146",47.497854098212,"zzzOther","102","1",0,52
"147",40.4376735372934,"zzzOther","102","1",40100,52
"148",22.3074949113652,"zzzOther","102","1",9500,52
"149",21.2963901278563,"zzzOther","100","1",10900,49
"150",51.8527431883849,"zzzOther","100","1",54000,52
"151",32.6163300219923,"zzzOther","102","1",48000,50
"152",38.9805117598735,"zzzOther","102","2",37000,48
"153",44.5741900536232,"zzzOther","101","1",42500,52
"154",46.2904218020849,"zzzOther","100","1",0,9
"155",44.6474887197837,"16","140","1",56000,36
"156",55.256134328898,"zzzOther","101","1",14600,48
"157",28.8489566200878,"zzzOther","100","1",48000,52
"158",24.7122153537348,"zzzOther","101","1",20000,52
"159",31.6389274820685,"zzzOther","101","1",40000,32
"160",32.8868734005373,"zzzOther","101","1",28000,52
"161",29.7093341883738,"zzzOther","102","2",40000,52
"162",43.4555335973855,"zzzOther","140","2",0,0
"163",52.8418967223261,"zzzOther","141","1",53000,52
"164",35.6536372799892,"zzzOther","101","2",0,29
"165",47.1314386308659,"zzzOther","102","1",133000,52
"166",57.5936547715683,"zzzOther","102","1",0,0
"167",43.8691622279584,"14","141","2",150000,52
"168",43.0200135936029,"zzzOther","100","2",42000,52
"169",50.0564786554314,"zzzOther","141","1",50000,52
"170",54.4514242596924,"zzzOther","141","1",73000,52
"171",39.0418180990964,"zzzOther","102","2",65000,52
"172",55.2857260436285,"14","100","1",325000,52
"173",42.4498245925643,"zzzOther","101","2",19000,52
"174",64.5527969198301,"zzzOther","106","1",0,0
"175",58.5792064864654,"14","100","1",45000,52
"176",34.7923807702027,"zzzOther","141","1",6400,52
"177",38.3936099114362,"zzzOther","101","1",40100,52
"178",41.5193840020802,"zzzOther","100","1",100000,52
"179",41.6349526667036,"zzzOther","102","1",40000,26
"180",39.7712231318001,"zzzOther","100","1",70000,52
"181",59.3475728381891,"zzzOther","102","1",36000,28
"182",34.0797094134614,"zzzOther","106","1",38000,52
"183",40.5350437806919,"zzzOther","141","1",42000,52
"184",47.1601368379779,"zzzOther","141","1",80000,52
"185",60.5743348833639,"zzzOther","102","2",0,0
"186",32.214317639824,"zzzOther","100","2",0,52
"187",34.5422947972547,"zzzOther","101","1",0,52
"188",34.3607766362838,"zzzOther","100","1",24000,52
"189",46.0135864927433,"zzzOther","100","1",32000,52
"190",56.4870847696438,"zzzOther","100","1",0,0
"191",35.0243992831092,"zzzOther","100","2",100000,52
"192",38.8724988957401,"zzzOther","101","1",20000,46
"193",37.4446888861712,"zzzOther","100","2",9000,30
"194",59.799542149296,"zzzOther","102","1",90000,52
"195",55.4754037070088,"zzzOther","100","1",120000,52
"196",37.5457632052712,"zzzOther","101","1",45000,52
"197",53.4112226599827,"zzzOther","101","1",100000,52
"198",51.7862775055692,"zzzOther","141","1",60000,52
"199",36.2412580347154,"14","102","1",93000,52
"200",38.709594637854,"zzzOther","102","2",68000,52
"201",49.1477142500225,"zzzOther","102","1",0,52
"202",37.667151204776,"zzzOther","141","1",56000,52
"203",27.084196759155,"zzzOther","100","1",15000,52
"204",40.3759809383191,"zzzOther","101","1",40000,52
"205",66.6561882745009,"16","100","1",0,48
"206",31.1856011762284,"zzzOther","101","1",72000,52
"207",56.3922268380411,"16","102","1",3600,40
"208",40.6685732556507,"zzzOther","100","1",90000,50
"209",43.8841484801378,"zzzOther","102","2",0,52
"210",45.1131995851174,"14","100","2",44000,36
"211",57.3297647628933,"zzzOther","101","2",12000,50
"212",29.1516794760246,"zzzOther","100","1",42000,52
"213",31.7498050720897,"zzzOther","100","2",40000,52
"214",35.5337832120713,"zzzOther","100","1",325000,52
"215",32.5651116145309,"14","101","2",47000,52
"216",28.9373040245846,"zzzOther","100","1",43000,52
"217",37.7160116666928,"zzzOther","101","1",8700,52
"218",61.3225243587513,"zzzOther","100","1",50000,52
"219",32.0784976612777,"zzzOther","100","1",0,0
