"age","educ","occ","sex","wageinc","wkswrkd"
"50.3008160656318","zzzOther","102","2","75000","52"
"41.1013903815765","zzzOther","101","1","12300","20"
"24.6737403704319","zzzOther","102","2","15400","52"
"50.1995120486245","zzzOther","100","1","0","52"
"51.1811235798523","zzzOther","100","2","160","1"
"57.7041342651937","zzzOther","100","1","0","0"
"67.7383981128223","zzzOther","101","2","0","0"
"42.3454363306519","zzzOther","100","1","32000","52"
"43.3008304433897","14","100","2","39000","48"
"46.467686329037","zzzOther","100","1","20000","52"
"43.6113898868207","zzzOther","101","1","38200","52"
"54.5134745053947","zzzOther","101","1","0","8"
"69.0574941516388","zzzOther","100","1","0","0"
"46.6304130449425","zzzOther","100","1","0","52"
"16.2384000425227","zzzOther","101","1","0","1"
"56.9018817634787","zzzOther","100","1","62000","52"
"61.0879818729591","zzzOther","100","1","90000","52"
"22.7820266338531","zzzOther","100","2","23000","52"
"46.433745313203","zzzOther","100","1","71000","52"
"23.5164759685285","zzzOther","102","2","10000","48"
"53.1848068640102","zzzOther","141","1","46000","52"
"47.3419281016104","14","141","1","0","0"
"38.1045279719401","zzzOther","100","1","48000","52"
"42.9345010456163","zzzOther","102","1","45000","52"
"35.0165190608241","zzzOther","140","2","2000","35"
"47.4173959139735","zzzOther","102","2","48000","52"
"39.9432413824834","zzzOther","100","2","12000","52"
"21.3620795647148","zzzOther","140","1","2500","12"
"45.5847830963321","zzzOther","102","2","85000","52"
"22.1195234549232","zzzOther","100","2","17000","52"
"31.1826375569217","zzzOther","101","2","16800","52"
"29.0837505471427","zzzOther","101","1","3800","10"
"22.0975430912804","zzzOther","100","1","4000","30"
"23.3980760530103","zzzOther","100","1","14000","52"
"52.7029605892021","14","141","1","94000","52"
"39.6042717595119","zzzOther","102","2","27000","52"
"54.0746337410528","zzzOther","102","1","17200","35"
"18.0006891351659","zzzOther","101","1","1400","6"
"28.3163896587212","zzzOther","101","1","0","52"
"63.8333374662325","zzzOther","141","1","0","0"
"22.296990144765","zzzOther","140","1","2500","12"
"35.4225805874448","zzzOther","100","1","1500","40"
"17.4097923503723","zzzOther","101","1","6000","52"
"48.8181916163303","zzzOther","100","2","37000","52"
"43.5835161320865","zzzOther","102","1","60000","52"
"53.0365170626901","zzzOther","101","2","5000","20"
"32.1495787787717","zzzOther","100","2","16000","52"
"30.589970566798","zzzOther","106","2","25000","48"
"67.9033058192581","zzzOther","141","1","52000","52"
"48.8466562340036","zzzOther","141","1","52000","52"
"38.8184350309893","zzzOther","100","1","38000","52"
"18.6424676205497","zzzOther","102","2","100","1"
"17.8421178348362","zzzOther","100","1","2200","20"
"42.7337237857282","zzzOther","101","1","100000","20"
"47.7808558763936","zzzOther","100","1","32000","52"
"63.5945385685191","zzzOther","101","1","5200","10"
"48.3066643560305","14","100","1","70000","52"
"40.211410658434","zzzOther","102","1","32000","52"
"37.1820506763179","zzzOther","101","1","0","52"
"35.7245399863459","zzzOther","100","2","15000","52"
"43.0304465563968","zzzOther","101","1","50000","50"
"57.3332161544822","zzzOther","141","1","45000","52"
"26.1796893218998","zzzOther","100","2","20000","52"
"42.168609111337","zzzOther","102","1","30000","52"
"20.0975793641992","zzzOther","140","1","19200","52"
"32.9543284052052","zzzOther","101","1","325000","52"
"22.7102688224986","zzzOther","101","1","12000","27"
"67.182044305373","zzzOther","101","1","0","0"
"27.352926122956","zzzOther","100","1","30000","52"
"19.7089465898462","zzzOther","102","1","2000","12"
"32.4222956940066","zzzOther","100","1","23000","52"
"40.5808667435776","zzzOther","100","1","0","0"
"59.8351127763744","zzzOther","102","1","38000","52"
"38.7967718651053","zzzOther","100","1","30000","52"
"52.0030373572372","zzzOther","101","2","0","46"
"63.2108963835053","zzzOther","141","1","0","0"
"52.8863264366519","zzzOther","102","1","0","0"
"18.7085583850276","zzzOther","100","2","400","4"
"45.3091244951356","zzzOther","102","1","95000","52"
"55.4540578944143","zzzOther","100","1","26100","42"
"38.9322488410398","zzzOther","141","1","120000","48"
"33.1420350284316","zzzOther","101","1","0","52"
"41.5299665492494","zzzOther","100","1","1800","52"
"45.6935201140586","zzzOther","102","1","40000","52"
"64.9523463668302","16","141","1","0","0"
"32.8527239989489","zzzOther","140","1","75000","52"
"62.3509524732362","14","100","1","0","20"
"40.2848216653802","zzzOther","101","1","38000","52"
"31.1395488795824","zzzOther","102","1","54000","52"
"46.428843829548","zzzOther","101","2","68000","50"
"59.1294326283969","zzzOther","101","1","60000","52"
"24.2086899853311","zzzOther","101","2","3000","20"
"53.6992022951599","zzzOther","101","1","0","25"
"24.1534116317052","zzzOther","100","1","26000","50"
"52.6180505126249","14","100","1","0","0"
"51.7144680297934","zzzOther","100","2","0","0"
"77.5391139155254","16","141","1","0","0"
"27.6830686521716","zzzOther","100","2","40000","40"
"77.6589996390976","zzzOther","141","1","0","0"
"54.6848682381678","zzzOther","141","2","49000","48"
"59.7556393591221","zzzOther","102","1","27000","40"
"66.4001385965385","zzzOther","100","1","0","51"
"50.8966029400472","zzzOther","100","1","2100","4"
"47.3257711681072","16","100","1","0","52"
"55.9847878112923","16","102","1","117000","42"
"43.9791781471577","zzzOther","102","1","0","52"
"26.6103020883165","zzzOther","100","2","15000","30"
